record_id,operation_date,site_id,site_name,business_unit,site_type,country,throughput_value,throughput_unit,throughput_target,uptime_pct,energy_consumed_mwh,emissions_tco2e,outage_flag,latitude,longitude
1,2025-11-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.93,kbbl/d,42.0,96.2,161.6,20.35,0,4.78,113.1
2,2025-11-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.74,kbbl/d,42.0,98.23,104.3,17.3,0,4.78,113.1
3,2025-11-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.2,kbbl/d,42.0,98.12,151.5,17.93,0,4.78,113.1
4,2025-11-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.65,kbbl/d,42.0,96.75,107.2,20.37,0,4.78,113.1
5,2025-11-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.13,kbbl/d,42.0,95.7,136.9,17.83,0,4.78,113.1
6,2025-11-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.32,kbbl/d,42.0,97.7,160.6,20.69,0,4.78,113.1
7,2025-11-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.03,kbbl/d,42.0,89.93,133.5,17.76,0,4.78,113.1
8,2025-11-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.19,kbbl/d,42.0,94.96,154.2,19.76,0,4.78,113.1
9,2025-11-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.91,kbbl/d,42.0,96.76,112.4,15.7,0,4.78,113.1
10,2025-11-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.28,kbbl/d,42.0,98.52,136.6,18.53,0,4.78,113.1
11,2025-11-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.21,kbbl/d,42.0,95.85,153.2,17.32,0,4.78,113.1
12,2025-11-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.74,kbbl/d,42.0,100.0,129.5,19.63,0,4.78,113.1
13,2025-11-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.17,kbbl/d,42.0,92.92,166.8,17.52,0,4.78,113.1
14,2025-11-14,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.78,kbbl/d,42.0,95.15,117.7,16.44,0,4.78,113.1
15,2025-11-15,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.19,kbbl/d,42.0,98.03,138.9,20.56,0,4.78,113.1
16,2025-11-16,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.38,kbbl/d,42.0,94.95,114.9,17.48,0,4.78,113.1
17,2025-11-17,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.97,kbbl/d,42.0,91.87,111.6,18.79,0,4.78,113.1
18,2025-11-18,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.81,kbbl/d,42.0,93.77,95.5,15.27,0,4.78,113.1
19,2025-11-19,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.96,kbbl/d,42.0,97.16,123.9,18.78,0,4.78,113.1
20,2025-11-20,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.43,kbbl/d,42.0,93.95,179.1,17.23,0,4.78,113.1
21,2025-11-21,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.49,kbbl/d,42.0,95.19,145.6,15.97,0,4.78,113.1
22,2025-11-22,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.04,kbbl/d,42.0,93.65,172.1,18.89,0,4.78,113.1
23,2025-11-23,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.49,kbbl/d,42.0,94.91,180.2,18.35,0,4.78,113.1
24,2025-11-24,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.22,kbbl/d,42.0,96.47,115.7,19.52,0,4.78,113.1
25,2025-11-25,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.49,kbbl/d,42.0,97.03,118.0,15.25,0,4.78,113.1
26,2025-11-26,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.63,kbbl/d,42.0,93.45,173.3,18.01,0,4.78,113.1
27,2025-11-27,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.22,kbbl/d,42.0,100.0,136.2,16.13,0,4.78,113.1
28,2025-11-28,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.4,kbbl/d,42.0,92.27,111.4,18.09,0,4.78,113.1
29,2025-11-29,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.82,kbbl/d,42.0,96.0,116.4,18.06,0,4.78,113.1
30,2025-11-30,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.99,kbbl/d,42.0,100.0,124.9,19.78,0,4.78,113.1
31,2025-12-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.96,kbbl/d,42.0,93.68,109.0,16.09,0,4.78,113.1
32,2025-12-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.23,kbbl/d,42.0,97.62,115.4,16.14,0,4.78,113.1
33,2025-12-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,43.17,kbbl/d,42.0,97.19,114.0,18.41,0,4.78,113.1
34,2025-12-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.08,kbbl/d,42.0,100.0,110.8,19.61,0,4.78,113.1
35,2025-12-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.61,kbbl/d,42.0,92.16,117.0,16.8,0,4.78,113.1
36,2025-12-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.34,kbbl/d,42.0,97.22,138.5,18.98,0,4.78,113.1
37,2025-12-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.36,kbbl/d,42.0,97.61,128.3,19.48,0,4.78,113.1
38,2025-12-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.47,kbbl/d,42.0,96.36,130.7,17.04,0,4.78,113.1
39,2025-12-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.15,kbbl/d,42.0,96.48,169.5,18.25,0,4.78,113.1
40,2025-12-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,45.36,kbbl/d,42.0,100.0,189.2,22.33,0,4.78,113.1
41,2025-12-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.79,kbbl/d,42.0,97.35,119.4,17.99,0,4.78,113.1
42,2025-12-12,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.23,kbbl/d,42.0,95.25,175.4,16.82,0,4.78,113.1
43,2025-12-13,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.35,kbbl/d,42.0,93.96,190.2,19.27,0,4.78,113.1
44,2025-12-14,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,38.57,kbbl/d,42.0,97.21,119.3,18.98,0,4.78,113.1
45,2025-12-15,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.09,kbbl/d,42.0,92.47,132.4,16.25,0,4.78,113.1
46,2025-12-16,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.87,kbbl/d,42.0,95.39,167.4,15.61,0,4.78,113.1
47,2025-12-17,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.56,kbbl/d,42.0,93.38,102.9,18.22,0,4.78,113.1
48,2025-12-18,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.23,kbbl/d,42.0,94.37,150.4,17.81,0,4.78,113.1
49,2025-12-19,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.29,kbbl/d,42.0,90.7,142.7,15.48,0,4.78,113.1
50,2025-12-20,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.27,kbbl/d,42.0,95.64,127.9,17.89,0,4.78,113.1
51,2025-12-21,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.88,kbbl/d,42.0,98.96,201.6,18.47,0,4.78,113.1
52,2025-12-22,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.49,kbbl/d,42.0,97.69,172.4,19.12,0,4.78,113.1
53,2025-12-23,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.24,kbbl/d,42.0,95.48,165.0,19.43,0,4.78,113.1
54,2025-12-24,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.98,kbbl/d,42.0,97.55,105.6,20.09,0,4.78,113.1
55,2025-12-25,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.94,kbbl/d,42.0,93.42,100.9,15.32,0,4.78,113.1
56,2025-12-26,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.0,kbbl/d,42.0,91.42,137.3,17.37,0,4.78,113.1
57,2025-12-27,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.9,kbbl/d,42.0,95.17,172.0,19.2,0,4.78,113.1
58,2025-12-28,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.42,kbbl/d,42.0,95.01,120.4,15.98,0,4.78,113.1
59,2025-12-29,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,41.53,kbbl/d,42.0,95.21,149.6,18.42,0,4.78,113.1
60,2025-12-30,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,2.01,kbbl/d,42.0,4.51,8.7,0.91,1,4.78,113.1
61,2025-12-31,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.43,kbbl/d,42.0,95.0,113.0,16.84,0,4.78,113.1
62,2026-01-01,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.42,kbbl/d,42.0,100.0,190.9,18.83,0,4.78,113.1
63,2026-01-02,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,36.9,kbbl/d,42.0,93.83,149.8,17.88,0,4.78,113.1
64,2026-01-03,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.83,kbbl/d,42.0,95.42,181.1,21.11,0,4.78,113.1
65,2026-01-04,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,42.55,kbbl/d,42.0,95.48,108.5,20.05,0,4.78,113.1
66,2026-01-05,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,44.45,kbbl/d,42.0,100.0,183.2,19.07,0,4.78,113.1
67,2026-01-06,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.23,kbbl/d,42.0,94.58,158.0,17.96,0,4.78,113.1
68,2026-01-07,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.72,kbbl/d,42.0,97.6,162.5,16.9,0,4.78,113.1
69,2026-01-08,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,37.52,kbbl/d,42.0,93.94,118.4,18.11,0,4.78,113.1
70,2026-01-09,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.6,kbbl/d,42.0,95.82,176.7,17.95,0,4.78,113.1
71,2026-01-10,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,39.41,kbbl/d,42.0,100.0,175.0,16.59,0,4.78,113.1
72,2026-01-11,UP-BKSP-A,Bokor Platform A,Upstream,Offshore Platform,Malaysia,40.05,kbbl/d,42.0,96.36,158.5,17.35,0,4.78,113.1
