asset_id,asset_name,asset_type,site_id,site_name,criticality,install_year,last_inspection_date,next_inspection_date,status,owner_team,business_unit_sheet
AST-UP-1001,Separator 1001,Separator,UP-BKSP-A,Bokor Platform A,Critical,2013,2024-07-08,2026-07-08,In Service,Upstream Asset Integrity,Upstream
AST-UP-1002,Topside Module 1002,Topside Module,UP-PMOC-3,PMO Cluster 3,Critical,2016,2026-02-07,2027-02-07,In Service,Upstream Asset Integrity,Upstream
AST-UP-1003,Compressor 1003,Compressor,UP-PMOC-3,PMO Cluster 3,Medium,2014,2024-11-18,2025-05-17,In Service,Upstream Asset Integrity,Upstream
AST-UP-1004,Riser 1004,Riser,UP-CYNB-1,Carigali Onshore Block,High,2020,2024-08-03,2026-08-03,Decommissioned,Upstream Asset Integrity,Upstream
AST-UP-1005,Topside Module 1005,Topside Module,UP-BKSP-A,Bokor Platform A,Low,2009,2024-08-19,2025-08-19,In Service,Upstream Asset Integrity,Upstream
AST-UP-1006,Compressor 1006,Compressor,UP-CYNB-1,Carigali Onshore Block,Low,2012,2025-06-20,2025-12-17,In Service,Upstream Asset Integrity,Upstream
AST-UP-1007,Topside Module 1007,Topside Module,UP-BKSP-A,Bokor Platform A,Low,2001,2024-12-05,2025-12-05,Under Maintenance,Upstream Asset Integrity,Upstream
AST-UP-1008,Compressor 1008,Compressor,UP-CYNB-1,Carigali Onshore Block,Medium,2003,2025-08-04,2026-01-31,In Service,Upstream Asset Integrity,Upstream
AST-UP-1009,Topside Module 1009,Topside Module,UP-CYNB-1,Carigali Onshore Block,Medium,2001,2024-05-10,2026-05-10,In Service,Upstream Asset Integrity,Upstream
AST-UP-1010,Compressor 1010,Compressor,UP-BKSP-A,Bokor Platform A,Medium,2009,2026-03-31,2026-09-27,In Service,Upstream Asset Integrity,Upstream
AST-UP-1011,Riser 1011,Riser,UP-KSPL-1,Kasawari LNG Platform,Low,2022,2024-06-08,2024-12-05,In Service,Upstream Asset Integrity,Upstream
AST-UP-1012,Compressor 1012,Compressor,UP-BKSP-A,Bokor Platform A,Low,2009,2024-10-09,2025-04-07,In Service,Upstream Asset Integrity,Upstream
AST-UP-1013,Topside Module 1013,Topside Module,UP-BKSP-A,Bokor Platform A,Medium,2016,2024-06-03,2026-06-03,In Service,Upstream Asset Integrity,Upstream
AST-UP-1014,Compressor 1014,Compressor,UP-BKSP-A,Bokor Platform A,Low,2020,2026-01-20,2026-07-19,In Service,Upstream Asset Integrity,Upstream
AST-UP-1015,Wellhead 1015,Wellhead,UP-KSPL-1,Kasawari LNG Platform,Medium,1997,2025-01-15,2025-07-14,In Service,Upstream Asset Integrity,Upstream
AST-UP-1016,Wellhead 1016,Wellhead,UP-BKSP-A,Bokor Platform A,High,2012,2025-03-03,2026-03-03,In Service,Upstream Asset Integrity,Upstream
AST-UP-1017,Wellhead 1017,Wellhead,UP-KSPL-1,Kasawari LNG Platform,High,2009,2025-04-16,2027-04-16,In Service,Upstream Asset Integrity,Upstream
AST-UP-1018,Compressor 1018,Compressor,UP-CYNB-1,Carigali Onshore Block,Critical,2006,2025-01-22,2025-07-21,In Service,Upstream Asset Integrity,Upstream
AST-UP-1019,Subsea Tree 1019,Subsea Tree,UP-BKSP-A,Bokor Platform A,Low,2012,2026-02-27,2027-02-27,In Service,Upstream Asset Integrity,Upstream
AST-UP-1020,Topside Module 1020,Topside Module,UP-BKSP-A,Bokor Platform A,Medium,2021,2025-10-04,2026-10-04,In Service,Upstream Asset Integrity,Upstream
AST-UP-1021,Wellhead 1021,Wellhead,UP-CYNB-1,Carigali Onshore Block,High,2019,2024-06-21,2026-06-21,In Service,Upstream Asset Integrity,Upstream
AST-UP-1022,Separator 1022,Separator,UP-CYNB-1,Carigali Onshore Block,Low,2021,2024-08-19,2025-08-19,In Service,Upstream Asset Integrity,Upstream
AST-UP-1023,Riser 1023,Riser,UP-KSPL-1,Kasawari LNG Platform,Low,2018,2025-03-10,2027-03-10,Under Maintenance,Upstream Asset Integrity,Upstream
AST-UP-1024,Subsea Tree 1024,Subsea Tree,UP-BKSP-A,Bokor Platform A,Critical,1996,2024-08-21,2025-08-21,In Service,Upstream Asset Integrity,Upstream
